0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2019,TOLIMA,IBAGUÉ (CT),Martes,18:47:00,LAS DELICIAS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,73001000,,1
1/1/2019,VALLE,BOLÍVAR,Martes,1:00:00,CRGTO RICAURTE,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,76100000,,1
1/1/2019,VALLE,BUENAVENTURA,Martes,9:15:00,PORVENIR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,76109000,,1
1/1/2019,VALLE,BUENAVENTURA,Martes,14:10:00,CAMILO TORRES,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76109000,,1
1/1/2019,VALLE,CALI (CT),Martes,20:40:00,PUERTAS DEL SOL E14,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,76001000,,1
1/1/2019,VALLE,CALI (CT),Martes,13:10:00,JORGE ZAWADSKY E10,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,76001000,,1
1/1/2019,VALLE,CALI (CT),Martes,7:39:00,ALFONSO LOPEZ I E7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,76001000,,1
1/1/2019,VALLE,CALI (CT),Martes,7:39:00,ALFONSO LOPEZ I E7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,76001000,,1
1/1/2019,VALLE,CALI (CT),Martes,8:46:00,SAN JUAN BOSCO E3,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,76001000,,1
1/1/2019,VALLE,CALI (CT),Martes,9:41:00,LOS COMUNEROS II E13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76001000,,1
